TBLID,GEOID,GEONAME,PROFLN,ESTIMATE,MG_ERROR
TITLE:,"PERCENT OF PEOPLE 5 YEARS AND OVER WHO SPEAK ENGLISH LESS THAN ""VERY WELL""",,,,
R1603,05000US12099,"Palm Beach County, Florida",54,13.7,+/-0.7
R1603,05000US12101,"Pasco County, Florida",54,5.7,+/-0.8
R1603,05000US12103,"Pinellas County, Florida",54,5.3,+/-0.6
R1603,05000US12105,"Polk County, Florida",54,8.5,+/-0.8
R1603,05000US12109,"St. Johns County, Florida",54,1.8,+/-0.6
R1603,05000US12111,"St. Lucie County, Florida",54,6.5,+/-1.4
R1603,05000US12115,"Sarasota County, Florida",54,4.6,+/-0.7
R1603,05000US12117,"Seminole County, Florida",54,6.7,+/-0.9
R1603,05000US12127,"Volusia County, Florida",54,3.1,+/-0.6
R1603,05000US13021,"Bibb County, Georgia",54,2.1,+/-0.6
R1603,05000US13051,"Chatham County, Georgia",54,4,+/-0.8
R1603,05000US13063,"Clayton County, Georgia",54,8.3,+/-1.1
R1603,05000US13067,"Cobb County, Georgia",54,7.7,+/-0.9
R1603,05000US13089,"DeKalb County, Georgia",54,8.3,+/-0.7
R1603,05000US13113,"Fayette County, Georgia",54,3.1,+/-1.0
R1603,05000US13117,"Forsyth County, Georgia",54,6.3,+/-1.0
R1603,05000US13121,"Fulton County, Georgia",54,3.6,+/-0.5
R1603,05000US13135,"Gwinnett County, Georgia",54,16.9,+/-0.9
R1603,05000US13139,"Hall County, Georgia",54,12.7,+/-1.4
R1603,05000US13247,"Rockdale County, Georgia",54,6.4,+/-1.8
R1603,05000US15001,"Hawaii County, Hawaii",54,10.1,+/-2.3
R1603,05000US15003,"Honolulu County, Hawaii",54,12.4,+/-1.0
R1603,05000US15009,"Maui County, Hawaii",54,12.8,+/-2.6
R1603,05000US16001,"Ada County, Idaho",54,3.2,+/-0.8
R1603,05000US17019,"Champaign County, Illinois",54,6.3,+/-1.2
R1603,05000US17031,"Cook County, Illinois",54,13.3,+/-0.4
R1603,05000US17043,"DuPage County, Illinois",54,8.7,+/-0.6
R1603,05000US17089,"Kane County, Illinois",54,11.2,+/-1.0
R1603,05000US17097,"Lake County, Illinois",54,10.4,+/-0.7
R1603,05000US17111,"McHenry County, Illinois",54,4.4,+/-0.8
R1603,05000US17161,"Rock Island County, Illinois",54,5.3,+/-1.3
R1603,05000US17163,"St. Clair County, Illinois",54,1.1,+/-0.4
R1603,05000US17197,"Will County, Illinois",54,8.2,+/-0.7
R1603,05000US17201,"Winnebago County, Illinois",54,3.7,+/-0.9
R1603,05000US18003,"Allen County, Indiana",54,4.4,+/-0.5
R1603,05000US18057,"Hamilton County, Indiana",54,2.9,+/-0.8
R1603,05000US18089,"Lake County, Indiana",54,4.2,+/-0.6
R1603,05000US18097,"Marion County, Indiana",54,5.8,+/-0.6
R1603,05000US18141,"St. Joseph County, Indiana",54,4.3,+/-0.8
R1603,05000US19103,"Johnson County, Iowa",54,7.1,+/-1.8
R1603,05000US19113,"Linn County, Iowa",54,3,+/-1.1
R1603,05000US19153,"Polk County, Iowa",54,6.2,+/-1.0
R1603,05000US20091,"Johnson County, Kansas",54,4.3,+/-0.5
R1603,05000US20173,"Sedgwick County, Kansas",54,5.6,+/-0.7
R1603,05000US20209,"Wyandotte County, Kansas",54,15.5,+/-1.7
R1603,05000US21067,"Fayette County, Kentucky",54,5,+/-0.8
R1603,05000US21111,"Jefferson County, Kentucky",54,4.6,+/-0.7
R1603,05000US22033,"East Baton Rouge Parish, Louisiana",54,3.5,+/-0.6
R1603,05000US22051,"Jefferson Parish, Louisiana",54,8.8,+/-1.0
R1603,05000US22055,"Lafayette Parish, Louisiana",54,3.1,+/-1.0
R1603,05000US22071,"Orleans Parish, Louisiana",54,2.7,+/-0.5
R1603,05000US23005,"Cumberland County, Maine",54,2.5,+/-0.5
R1603,05000US24003,"Anne Arundel County, Maryland",54,3.5,+/-0.5
R1603,05000US24005,"Baltimore County, Maryland",54,5.1,+/-0.7
R1603,05000US24013,"Carroll County, Maryland",54,1.3,+/-0.5
R1603,05000US24017,"Charles County, Maryland",54,3.1,+/-0.8
R1603,05000US24021,"Frederick County, Maryland",54,5.2,+/-1.0
R1603,05000US24025,"Harford County, Maryland",54,1.8,+/-0.6
R1603,05000US24027,"Howard County, Maryland",54,7.7,+/-1.2
R1603,05000US24031,"Montgomery County, Maryland",54,15.7,+/-0.8
R1603,05000US24033,"Prince George's County, Maryland",54,13.6,+/-0.7
R1603,05000US24510,"Baltimore city, Maryland",54,3.3,+/-0.5
R1603,05000US25001,"Barnstable County, Massachusetts",54,3,+/-0.8
R1603,05000US25005,"Bristol County, Massachusetts",54,7.7,+/-0.7
R1603,05000US25009,"Essex County, Massachusetts",54,11.6,+/-0.6
R1603,05000US25013,"Hampden County, Massachusetts",54,9.5,+/-1.0
R1603,05000US25015,"Hampshire County, Massachusetts",54,3.1,+/-0.6
R1603,05000US25017,"Middlesex County, Massachusetts",54,8.9,+/-0.5
R1603,05000US25021,"Norfolk County, Massachusetts",54,8.5,+/-0.9
R1603,05000US25023,"Plymouth County, Massachusetts",54,5.2,+/-0.7
R1603,05000US25025,"Suffolk County, Massachusetts",54,17.4,+/-1.0
R1603,05000US25027,"Worcester County, Massachusetts",54,7.9,+/-0.8
R1603,05000US26049,"Genesee County, Michigan",54,1,+/-0.3
R1603,05000US26065,"Ingham County, Michigan",54,5.1,+/-1.1
R1603,05000US26077,"Kalamazoo County, Michigan",54,3.3,+/-1.3
R1603,05000US26081,"Kent County, Michigan",54,4.8,+/-0.5
R1603,05000US26099,"Macomb County, Michigan",54,6,+/-0.6
R1603,05000US26125,"Oakland County, Michigan",54,4.8,+/-0.4
R1603,05000US26145,"Saginaw County, Michigan",54,1,+/-0.5
R1603,05000US26161,"Washtenaw County, Michigan",54,4,+/-0.8
R1603,05000US26163,"Wayne County, Michigan",54,5.4,+/-0.4
R1603,05000US27003,"Anoka County, Minnesota",54,4.9,+/-0.6
R1603,05000US27037,"Dakota County, Minnesota",54,5.6,+/-0.8
R1603,05000US27053,"Hennepin County, Minnesota",54,5.7,+/-0.4
R1603,05000US27109,"Olmsted County, Minnesota",54,6.7,+/-1.7
R1603,05000US27123,"Ramsey County, Minnesota",54,10.5,+/-1.0
R1603,05000US27137,"St. Louis County, Minnesota",54,1,+/-0.3
R1603,05000US27139,"Scott County, Minnesota",54,4.6,+/-1.3
R1603,05000US27145,"Stearns County, Minnesota",54,3,+/-0.9
R1603,05000US27163,"Washington County, Minnesota",54,3.2,+/-0.6
R1603,05000US29047,"Clay County, Missouri",54,2.9,+/-1.0
R1603,05000US29077,"Greene County, Missouri",54,1.5,+/-0.6
R1603,05000US29095,"Jackson County, Missouri",54,3.9,+/-0.5
R1603,05000US29183,"St. Charles County, Missouri",54,1.7,+/-0.4
R1603,05000US29189,"St. Louis County, Missouri",54,2.4,+/-0.3
R1603,05000US29510,"St. Louis city, Missouri",54,3.6,+/-0.8
R1603,05000US31055,"Douglas County, Nebraska",54,6.9,+/-0.9
R1603,05000US31109,"Lancaster County, Nebraska",54,5,+/-0.7
R1603,05000US31153,"Sarpy County, Nebraska",54,2,+/-0.5
R1603,05000US32003,"Clark County, Nevada",54,13.7,+/-0.5
R1603,05000US32031,"Washoe County, Nevada",54,9.3,+/-0.9
R1603,05000US33011,"Hillsborough County, New Hampshire",54,5.6,+/-0.7
R1603,05000US33015,"Rockingham County, New Hampshire",54,1.4,+/-0.4
R1603,05000US34001,"Atlantic County, New Jersey",54,11.3,+/-1.3
R1603,05000US34003,"Bergen County, New Jersey",54,14.1,+/-1.1
R1603,05000US34005,"Burlington County, New Jersey",54,4.5,+/-0.6
R1603,05000US34007,"Camden County, New Jersey",54,7.5,+/-0.6
R1603,05000US34011,"Cumberland County, New Jersey",54,12.7,+/-1.8
R1603,05000US34013,"Essex County, New Jersey",54,14.8,+/-0.9
R1603,05000US34015,"Gloucester County, New Jersey",54,2.9,+/-0.6
R1603,05000US34017,"Hudson County, New Jersey",54,24.1,+/-1.2
R1603,05000US34019,"Hunterdon County, New Jersey",54,3.8,+/-1.0
R1603,05000US34021,"Mercer County, New Jersey",54,13,+/-1.5
R1603,05000US34023,"Middlesex County, New Jersey",54,14.5,+/-0.9
R1603,05000US34025,"Monmouth County, New Jersey",54,5.6,+/-0.7
R1603,05000US34027,"Morris County, New Jersey",54,9.3,+/-0.9
R1603,05000US34029,"Ocean County, New Jersey",54,3.3,+/-0.5
R1603,05000US34031,"Passaic County, New Jersey",54,22.7,+/-1.4
R1603,05000US34035,"Somerset County, New Jersey",54,9.9,+/-1.2
R1603,05000US34037,"Sussex County, New Jersey",54,3,+/-1.0
R1603,05000US34039,"Union County, New Jersey",54,20.6,+/-1.2
R1603,05000US35001,"Bernalillo County, New Mexico",54,7.6,+/-0.8
R1603,05000US35043,"Sandoval County, New Mexico",54,2.8,+/-0.7
R1603,05000US35045,"San Juan County, New Mexico",54,10.8,+/-1.6
R1603,05000US35049,"Santa Fe County, New Mexico",54,8.4,+/-1.5
R1603,05000US36001,"Albany County, New York",54,4.6,+/-0.9
R1603,05000US36005,"Bronx County, New York",54,25.9,+/-0.8
R1603,05000US36007,"Broome County, New York",54,3.2,+/-0.6
R1603,05000US36027,"Dutchess County, New York",54,4.8,+/-0.7
R1603,05000US36029,"Erie County, New York",54,4,+/-0.4
R1603,05000US36047,"Kings County, New York",54,21.5,+/-0.5
R1603,05000US36055,"Monroe County, New York",54,5.8,+/-0.6
R1603,05000US36059,"Nassau County, New York",54,11.1,+/-0.7
R1603,05000US36061,"New York County, New York",54,14,+/-0.7
R1603,05000US36065,"Oneida County, New York",54,5.3,+/-1.1
R1603,05000US36067,"Onondaga County, New York",54,4.2,+/-0.6
R1603,05000US36071,"Orange County, New York",54,8.6,+/-0.8
R1603,05000US36079,"Putnam County, New York",54,3.9,+/-1.1
R1603,05000US36081,"Queens County, New York",54,28.8,+/-0.6
R1603,05000US36083,"Rensselaer County, New York",54,2.7,+/-0.7
R1603,05000US36085,"Richmond County, New York",54,11.6,+/-0.9
R1603,05000US36087,"Rockland County, New York",54,17.8,+/-1.5
R1603,05000US36089,"St. Lawrence County, New York",54,2.7,+/-1.1
R1603,05000US36091,"Saratoga County, New York",54,2.3,+/-0.5
R1603,05000US36103,"Suffolk County, New York",54,8.4,+/-0.6
R1603,05000US36105,"Sullivan County, New York",54,6.9,+/-2.6
R1603,05000US36111,"Ulster County, New York",54,3.4,+/-0.8
R1603,05000US36119,"Westchester County, New York",54,11.7,+/-0.8
R1603,05000US37021,"Buncombe County, North Carolina",54,5.3,+/-1.3
R1603,05000US37025,"Cabarrus County, North Carolina",54,4.9,+/-1.3
R1603,05000US37051,"Cumberland County, North Carolina",54,3.5,+/-0.5
R1603,05000US37063,"Durham County, North Carolina",54,7.2,+/-0.9
R1603,05000US37067,"Forsyth County, North Carolina",54,4.7,+/-0.7
R1603,05000US37071,"Gaston County, North Carolina",54,3.2,+/-0.7
R1603,05000US37081,"Guilford County, North Carolina",54,6.1,+/-0.9
R1603,05000US37097,"Iredell County, North Carolina",54,3.4,+/-0.8
R1603,05000US37101,"Johnston County, North Carolina",54,5.7,+/-1.0
R1603,05000US37119,"Mecklenburg County, North Carolina",54,8.5,+/-0.5
R1603,05000US37135,"Orange County, North Carolina",54,4.6,+/-1.0
R1603,05000US37179,"Union County, North Carolina",54,4.7,+/-0.8
R1603,05000US37183,"Wake County, North Carolina",54,5.4,+/-0.5
R1603,05000US39017,"Butler County, Ohio",54,4.2,+/-0.9
R1603,05000US39035,"Cuyahoga County, Ohio",54,4.9,+/-0.5
R1603,05000US39041,"Delaware County, Ohio",54,2.4,+/-0.7
R1603,05000US39049,"Franklin County, Ohio",54,5.3,+/-0.5
R1603,05000US39061,"Hamilton County, Ohio",54,3,+/-0.4
